"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"HOLE4,HOLE2,HOLE1,HOLE3";"MountingHole_3.5mm_Pad_Via";4;"MountingHole_3.5mm_Pad_Via";;;
2;"J7";"PinHeader_2x04_P2.54mm_Horizontal";1;"CABLE-READY";;;
3;"C12,C15";"C_Elec_6.3x5.4";2;"100u/16v";;;
4;"SW5";"SW_CuK_JS202011AQN_DPDT_Angled";1;"ABBA";;;
5;"IC2";"DIP-28_W15.24mm_Socket_LongPads";1;"W27E257";;;
6;"SW4";"SW_CuK_OS102011MA1QN1_SPDT_Angled";1;"ZX_SEL";;;
7;"R11,R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"10K";;;
8;"J4";"DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm";1;"KEMPSTON";;;
9;"SW3";"SW_DIP_SPSTx03_Piano_10.8x9.18mm_W7.62mm_P2.54mm";1;"ROMSEL_JOY";;;
10;"JP6";"SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"WDSEL";;;
11;"R3,R4,R2,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"470R";;;
12;"IC9";"DIP-14_W7.62mm_Socket_LongPads";1;"74LS00";;;
13;"IC11";"DIP-24_W7.62mm_Socket_LongPads";1;"GAL22V10";;;
14;"IC5";"DIP-14_W7.62mm_Socket_LongPads";1;"74LS06";;;
15;"IC6";"DIP-14_W7.62mm_Socket_LongPads";1;"74LS126";;;
16;"R5,R8,R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"2K2";;;
17;"IC10";"DIP-14_W7.62mm_Socket_LongPads";1;"74LS27";;;
18;"SW2";"SW_PUSH_6mm";1;"NMI";;;
19;"SW1";"SW_PUSH_6mm";1;"RESET";;;
20;"IC7";"DIP-20_W7.62mm_Socket_LongPads";1;"74LS374";;;
21;"IC8";"DIP-16_W7.62mm_Socket_LongPads";1;"74LS175";;;
22;"IC4";"DIP-24_W7.62mm_Socket_LongPads";1;"GAL20V8B";;;
23;"IC3";"DIP-28_W15.24mm_Socket_LongPads";1;"6224/62256";;;
24;"IC1";"DIP-28_W15.24mm_Socket_LongPads";1;"WD1772";;;
25;"R10,R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"680";;;
26;"R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"270";;;
27;"J1";"ZX_CONNECTOR_GENERIC_SORTED";1;"ZX_CONNECTOR_GENERIC_SORTED";;;
28;"J3";"PinHeader_2x13_P2.54mm_Vertical";1;"PARALLEL_CONNECTOR";;;
29;"C2,C11,C10,C9,C8,C7,C6,C5,C4,C3,C1";"C_Disc_D5.0mm_W2.5mm_P5.00mm";11;"100n";;;
30;"C16";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"33p";;;
31;"J2";"PinHeader_2x17_P2.54mm_Vertical";1;"FDD_CONNECTOR";;;
32;"D1";"LED_D5.0mm";1;"LD_ACT";;;
33;"D4,D3,D2";"D_DO-35_SOD27_P7.62mm_Horizontal";3;"1N4148";;;
34;"D5";"LED_D5.0mm";1;"LD_PWR";;;
35;"C13";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"100p";;;
36;"C14";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"100n";;;
37;"LOGO1";"OSHW-Logo_5.7x6mm_SilkScreen";1;"OSHW-Logo_5.7x6mm_SilkScreen";;;
38;"Y1";"Crystal_HC18-U_Vertical";1;"8.000Mhz";;;
